Name,description,sub_catagory,Veg_Non,Review,Cusine,Diet,Price
Kolkata Club Style Baked Kachori Aloo Recipe,All Purpose Flour (Maida)|Ajwain (Carom seeds)|Sunflower Oil|Salt|Water|Sunflower Oil|Red Chilli powder|Cumin powder (Jeera)|Coriander (Dhania) Leaves|Amchur (Dry Mango Powder)|Turmeric powder (Haldi)|Yellow Moong Dal (Split)|Salt|Coriander (Dhania) Leaves|Sunflower Oil|Potatoes (Aloo)|Sunflower Oil|Dry Red Chilli|Mustard seeds|Cumin seeds (Jeera)|Onion|Tomatoes|Green Chillies|Coriander (Dhania) Leaves|Turmeric powder (Haldi)|Cumin powder (Jeera)|Red Chilli powder|Salt|Coriander (Dhania) Leaves|Coriander (Dhania) Leaves,Indian Snack,veg,4.790874525,North Indian Recipes,Vegetarian,597
Tomato Tarts Recipe,All Purpose Flour (Maida)|All Purpose Flour (Maida)|Salted butter|Paprika powder|Chilled water|Cherry tomatoes|Goat Cheese|Dried Thyme Leaves|Mustard greens,Dessert,veg,4.97810219,Continental,Vegetarian,213
Spiced Chocolate And Beetroot Tea Cake Recipe,All Purpose Flour (Maida)|Baking powder|Baking soda|Cinnamon Powder (Dalchini)|Dry ginger powder|Nutmeg powder|Salt|Cocoa Powder|Whole Eggs|Vanilla Extract|Sugar|Beetroot,Cake,veg,4.859106529,Continental,Vegetarian,592
Eggless Banana and Date Loaf Recipe ,All Purpose Flour (Maida)|Baking powder|Baking soda|Ripe Bananas|Dates|Caster Sugar|Extra Virgin Olive Oil|Milk|Vanilla Extract,Cake,veg,4.853063217,Continental,Vegetarian,560
Southern Buttermilk Biscuits Recipe,All Purpose Flour (Maida)|Baking powder|Baking soda|Salt|Butter (unsalted)|Buttermilk|Fresh cream,Cookies,veg,4.907777436,Continental,Vegetarian,513
Apple Almond Cake Recipe | With Eggless Version,All Purpose Flour (Maida)|Baking powder|Baking soda|Salt|Cinnamon Powder (Dalchini)|Caster Sugar|Oil|Whole Eggs|Apples|Vanilla Extract|Whole Almonds (Badam),Cake,non-veg,4.856131031,Continental,Eggetarian,579
Lemon Blackberry Loaf Cake,All Purpose Flour (Maida)|Baking powder|Baking soda|Sugar|Whole Eggs|Lemon|Lemon juice|Vanilla Extract|Milk|Dried Blackberries,Cake,non-veg,4.871720117,Continental,Eggetarian,367
Eggless Peanut Butter Cupcake Recipe ,All Purpose Flour (Maida)|Baking powder|Brown Sugar (Demerara Sugar)|Peanut Butter|Milk|Vanilla Extract|Flax seed powder (flax meal)|Chilled water,Cake,veg,4.877755511,Continental,Vegetarian,286
Dried Cranberry & White Chocolate Chip Biscotti Recipe,All Purpose Flour (Maida)|Baking powder|Butter (unsalted)|Caster Sugar|Whole Eggs|Vanilla Extract|Cranberries|White Chocolate,Cookies,veg,4.887640449,Continental,Vegetarian,489
Parsi Mawa Cake Recipe (Tea Time Cake Flavored with Cardamom & Pistachios),All Purpose Flour (Maida)|Baking powder|Cardamom Powder (Elaichi)|Salt|Khoya (Mawa)|Butter (unsalted)|Sugar|Whole Eggs|Milk|Slivered Almonds (Badam)|Pistachios,Cake,non-veg,4.859942661,Parsi Recipes,Eggetarian,273
Eggless German Apple Cake Recipe ,All Purpose Flour (Maida)|Baking powder|Cinnamon Powder (Dalchini)|Salt|Sunflower Oil|Caster Sugar|Vanilla Extract|Apples|Flax seed powder (flax meal)|Chilled water,Cake,veg,4.90104453,Continental,Vegetarian,540
Rich Chocolate Muffins with Chocolate Chips,All Purpose Flour (Maida)|Baking powder|Cocoa Powder|Salt|Caster Sugar|Chocolate chips|Whole Eggs|Sunflower Oil|Milk,Cake,non-veg,4.883123976,Continental,Eggetarian,369
Eggless Fudgy Chocolate Chunk Brownie Recipe ,All Purpose Flour (Maida)|Baking powder|Cocoa Powder|Salt|Sugar|Vanilla Extract|Chocolate Bar|Flax seed powder (flax meal)|Chilled water,Cake,veg,4.867042707,Continental,Vegetarian,211
Black Forest Cake Recipe,All Purpose Flour (Maida)|Baking powder|Cocoa Powder|Sugar|Butter (unsalted)|Whole Eggs|Vanilla Extract|Hung Curd (Greek Yogurt)|Heavy whipping cream|Icing Sugar|Cherry Compote|Canned Cherries|Dark chocolate|Chocolate Shavings|Dark Chocolate Chips|Chocolate chips|Dark chocolate,Cake,non-veg,4.823721436,Continental,Eggetarian,441
Garlic Knot Recipe,All Purpose Flour (Maida)|Baking powder|Extra Virgin Olive Oil|Salt|Sugar|Lukewarm Water|Butter (Salted)|Garlic|Parsley leaves|Basil leaves|Red Chilli flakes|Salt,Homemade Bread,veg,4.89298893,Fusion,Vegetarian,547
Eggless Cranberry Pistachio Biscotti Recipe ,All Purpose Flour (Maida)|Baking powder|Oil|Sugar|Vanilla Extract|Pistachios|Cranberries|Salt,Cookies,veg,4.790036348,French,Vegetarian,322
Makhan Bada Recipe,All Purpose Flour (Maida)|Baking powder|Pistachios|Cardamom Powder (Elaichi)|Sugar|Water,Sweet Recipes (Indian Mithai / Indian ,veg,4.862204724,Rajasthani,Vegetarian,398
Eggless Date & Walnut Oatmeal Cake Recipe ,All Purpose Flour (Maida)|Baking powder|Salt|Brown Sugar (Demerara Sugar)|Nutralite Classic Spread|Rolled Oats|Hot water|Dates|Walnuts|Flax seed powder (flax meal)|Chilled water,Cake,veg,4.854211201,Continental,Vegetarian,317
Classic Banana Walnut Steamed Bread Recipe in Preethi Electric Pressure Cooker,All Purpose Flour (Maida)|Baking powder|Salt|Brown Sugar (Demerara Sugar)|Walnuts|Whole Eggs|Vanilla Extract|Milk|Ripe Bananas,Cake,non-veg,4.933518006,Continental,Eggetarian,567
Lemon & Rosemary Cake with White Chocolate Glaze,All Purpose Flour (Maida)|Baking powder|Salt|Butter (Salted)|Caster Sugar|Whole Eggs|Lemon juice|Lemon zest|Rosemary|Hung Curd (Greek Yogurt)|White Chocolate|Lemon juice,Cake,veg,4.857954545,Continental,Vegetarian,551
Indian Style Jeera Biscuit Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Butter (Salted)|Cumin seeds (Jeera)|Lukewarm Water,Cookies,veg,4.789583333,Continental,Vegetarian,373
Spiced Carrot Walnut Cake Recipe With Chocolate,All Purpose Flour (Maida)|Baking powder|Salt|Cardamom Powder (Elaichi)|Cinnamon Powder (Dalchini)|Sugar|Carrots (Gajjar)|Sunflower Oil|Whole Eggs|Walnuts|Dark chocolate,Cake,non-veg,4.861244019,Continental,Eggetarian,472
Giant Chocolate Chunk Cookie Recipe with Walnuts,All Purpose Flour (Maida)|Baking powder|Salt|Caster Sugar|Brown Sugar (Demerara Sugar)|Whole Eggs|Dark chocolate|Walnuts,Cookies,veg,4.884259259,Continental,Vegetarian,362
Orange And Poppy Seeds Muffins Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Caster Sugar|Sunflower Oil|Vanilla Extract|Milk|Poppy seeds|Whole Egg|Fresh orange juice|Orange Zest (Rind)|Fresh orange juice|Caster Sugar,Cake,non-veg,4.914438503,Continental,Eggetarian,334
Tres Leches Recipe - Mexican Three Milk Cake,All Purpose Flour (Maida)|Baking powder|Salt|Caster Sugar|Whole Eggs|Sunflower Oil|Vanilla Extract|Milk|Milk|Condensed Milk|Fresh cream|Double Cream|Icing Sugar|Vanilla Extract,Dessert,non-veg,4.895408163,Mexican,Eggetarian,529
Eggless Breakfast Oatmeal Raisin Muffin Recipe ,All Purpose Flour (Maida)|Baking powder|Salt|Cinnamon Powder (Dalchini)|Brown Sugar (Demerara Sugar)|Instant Oats (Oatmeal)|Raisins|Nutralite Classic Spread|Flax seed powder (flax meal)|Chilled water,Cake,veg,4.869265124,Continental,Vegetarian,545
Eggless Chocolate And Strawberry Muffins Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Cocoa Powder|Instant Oats (Oatmeal)|Caster Sugar|Extra Virgin Olive Oil|Chocolate chips|Strawberries|Flax seed powder (flax meal)|Chilled water,Cake,veg,4.960199005,Continental,Vegetarian,364
Cheesy Vegetarian Pizza Muffins Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Green Bell Pepper (Capsicum)|Whole Egg|Extra Virgin Olive Oil|Dried oregano|Basil leaves|Mozzarella cheese,Italian,veg,4.842622951,Fusion,Vegetarian,368
Pistachio Lemon Cookie Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Sugar|Honey|Hung Curd (Greek Yogurt)|Lemon zest|Lemon juice|Pistachios,Cookies,veg,4.906586826,Continental,Vegetarian,517
Paneer Naan Pizza Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Sugar|Milk|Hung Curd (Greek Yogurt)|Lukewarm Water|Blanched tomatoes|Garlic|Red Chilli flakes|Dry mix herbs|Basil leaves|Butter (Salted)|Salt|Mozzarella cheese|Red Yellow and Green Bell Peppers (Capsicum)|Onion|Red Chilli flakes|Italian seasoning|Butter (Salted),Italian,veg,4.886588659,Fusion,Vegetarian,551
Homemade Baked Donuts Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Sugar|Milk|Sunflower Oil|Vanilla Extract,Dessert,,4.813716404,Continental,,541
Lemon Chocolate Chip Cake Recipe,All Purpose Flour (Maida)|Baking powder|Salt|Sunflower Oil|Whole Eggs|Vanilla Extract|Sugar|Lemon zest|Lemon juice|Chocolate chips,Cake,veg,4.776876268,Continental,Vegetarian,366
Eggless Tutti Frutti Cookie Recipe,All Purpose Flour (Maida)|Baking powder|Sugar|Orange Zest (Rind)|Vanilla Extract|Salt,Cookies,veg,4.827893175,Continental,Vegetarian,292
Parmesan And Fresh Herbs Savoury Scones Recipe,All Purpose Flour (Maida)|Baking powder|Sugar|Salt|Baking soda|Butter (unsalted)|Parmesan cheese|Mixed Herbs (Dried)|Fresh cream|Milk|Whole Egg,Continental Breakfast,non-veg,4.905956113,Continental,Eggetarian,381
Mexican Style Bunuelos Recipe-Sweet Fritter ,All Purpose Flour (Maida)|Baking powder|Sugar|Whole Egg|Milk|Salt|Sunflower Oil|Caster Sugar|Cinnamon Powder (Dalchini),Dessert,non-veg,4.885106383,Mexican,Eggetarian,533
Nutty Pineapple Tutti Frutti Cake Recipe (White Fruitcake),All Purpose Flour (Maida)|Baking powder|Sugar|Whole Eggs|Salt|Mixed nuts|Milk|Vanilla Extract,Cake,non-veg,4.891608392,Continental,Eggetarian,415
Banana Bread With Chocolate Chips And Walnut Recipe,All Purpose Flour (Maida)|Baking powder|Whole Eggs|Butter (Salted)|Oil|Brown Sugar (Demerara Sugar)|Sugar|Vanilla Extract|Ripe Bananas|Chocolate chips|Walnuts|Walnuts,Homemade Bread,non-veg,4.921529175,Continental,Eggetarian,388
"Pesto Pizza Recipe With Sun Dried Tomatoes, Mushrooms, Pineapples And Olives",All Purpose Flour (Maida)|Baking soda|Baking powder|Garlic powder|Onion powder|Salt|Sugar|Extra Virgin Olive Oil|Water|Basil leaves|Extra Virgin Olive Oil|Salt and Pepper|Garlic|Walnuts|Chia Seeds|Pineapple|Button mushrooms|Kalamata Olives|Mozzarella cheese|Cheddar cheese,Italian,veg,4.970338983,Italian Recipes,Vegetarian,469
Labongo Latika Recipe,All Purpose Flour (Maida)|Baking soda|Cloves (Laung)|Pistachios|Khoya (Mawa)|Raisins|Cashew nuts|Pistachios|Sugar|Water|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Saffron strands,Sweet Recipes (Indian Mithai / Indian ,veg,4.897119342,Bengali Recipes,Vegetarian,449
Mangalore Bajji Recipe - Goli Baje,All Purpose Flour (Maida)|Baking soda|Fresh coconut|Green Chillies|Coriander (Dhania) Leaves|Sunflower Oil|Salt,Indian Snack,veg,4.871269748,Mangalorean,Vegetarian,585
Giant Skillet Cookie Recipe,All Purpose Flour (Maida)|Baking soda|Salt|Butter (unsalted)|Sugar|Brown Sugar (Demerara Sugar)|Whole Egg|Vanilla Extract|Milk|Chocolate chips,Cookies,veg,4.94637224,Continental,Vegetarian,441
Fluffy Buttermilk Pancake Recipe,All Purpose Flour (Maida)|Baking soda|Salt|Caster Sugar|Buttermilk|Vanilla Extract|Whole Egg|Sunflower Oil|Fresh fruits,Continental Breakfast,non-veg,4.933406114,Continental,Eggetarian,497
Eggless Thandai Cookie Recipe,All Purpose Flour (Maida)|Baking soda|Salt|Caster Sugar|Corn flour|Thandai Masala|Rose water|Pistachios|Badam (Almond)|Whole Black Peppercorns|Poppy seeds|Fennel seeds (Saunf)|Cardamom (Elaichi) Pods/Seeds,Indian Snack,veg,4.88590604,Indian,Vegetarian,321
Fresh Apple Bundt Cake Recipe,All Purpose Flour (Maida)|Baking soda|Salt|Cinnamon Powder (Dalchini)|Sugar|Sunflower Oil|Whole Eggs|Vanilla Extract|Apple,Cake,non-veg,4.930481283,Continental,Eggetarian,594
Badusha Recipe | Balushahi Recipe - Sweet Indian Doughnut ,All Purpose Flour (Maida)|Baking soda|Salt|Oil|Pistachios|Sugar|Water|Cardamom Powder (Elaichi),Sweet Recipes (Indian Mithai / Indian ,veg,4.874680307,Indian,Vegetarian,234
Chocolate Coffee Sticky Cake Recipe,All Purpose Flour (Maida)|Brown Sugar (Demerara Sugar)|Instant Coffee Powder|Dark Chocolate Chips|Cinnamon Powder (Dalchini)|Nutmeg powder|Baking powder|Salt|Walnuts|Whole Eggs|Vanilla Extract|Water,Cake,non-veg,4.893023256,Continental,Eggetarian,551
Canadian Egg Free Butter Tart Recipe (Eggless),All Purpose Flour (Maida)|Butter (Salted)|Salt|Sultana Raisins|Butter (Salted)|Brown Sugar (Demerara Sugar)|Corn flour|Hung Curd (Greek Yogurt)|Vanilla Extract|Cinnamon Powder (Dalchini)|Nutmeg powder,Dessert,veg,4.874220374,Continental,Vegetarian,311
Tart Provencal With Ratatouille Recipe,All Purpose Flour (Maida)|Butter (Salted)|Salt|Water|Japanese Eggplant|Green zucchini|Yellow Zucchini|Red Bell pepper (Capsicum)|Yellow Bell Pepper (Capsicum)|Onion|Garlic|Tomatoes|Fresh Thyme leaves|Sugar|Extra Virgin Olive Oil|Whole Black Peppercorns|Gruyere Cheese|Salt,Dessert,veg,4.994252874,French,Vegetarian,562
Vegetable Tartlets Recipe,All Purpose Flour (Maida)|Butter (Salted)|Salt|Water|Milk|Whole Eggs|Ricotta Cheese|Carrot (Gajjar)|Green beans (French Beans)|Green Bell Pepper (Capsicum)|Cherry tomatoes|Parsley leaves|Basil leaves|Fresh Thyme leaves|Dried oregano|Salt|Whole Black Peppercorns,Dessert,veg,4.921161826,Continental,Vegetarian,229
Chocolate Chip Cookies With Coconut Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Brown Sugar (Demerara Sugar)|Sugar|Vanilla Extract|Whole Eggs|Salt|Baking soda|Baking powder|Chocolate chips|Dessicated Coconut,Cookies,,4.961290323,Continental,,362
Red Wine Chocolate Cake Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Brown Sugar (Demerara Sugar)|Whole Egg|Egg yolks|Red wine|Vanilla Extract|Cocoa Powder|Baking powder|Salt|Cinnamon Powder (Dalchini)|Icing Sugar,Cake,non-veg,4.882640587,Continental,Eggetarian,525
Eggless Jam-Filled Thumbprint Cookies Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Caster Sugar|Vanilla Extract|Salt|Jam,Cookies,veg,4.811160059,Continental,Vegetarian,586
Quatre Quart Pound Cake Recipe With Fresh Figs,All Purpose Flour (Maida)|Butter (Unsalted)|Caster Sugar|Whole Eggs|Baking powder|Salt|Vanilla Extract|Milk|Fresh Figs,Cake,non-veg,4.870415648,French,Eggetarian,440
Cranberry Cookie Recipe,All Purpose Flour (Maida)|Butter (Unsalted)|Caster Sugar|Whole Eggs|Cranberries|Vanilla Extract|Salt,Cookies,veg,4.979942693,Continental,Vegetarian,296
Condensed Milk Cookies Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Condensed Milk|Sugar|Vanilla Extract|Salt,Cookies,veg,4.842223271,Continental,Vegetarian,591
Spicy Lemon Chilli Paneer Tart With Curry Leaves Recipe ,All Purpose Flour (Maida)|Butter (Unsalted)|Icing Sugar|Whole Egg|Salt|Green Bell Pepper (Capsicum)|Onion|Garlic|Green Chillies|Spring Onion Greens|Salt|Black pepper powder|Turmeric powder (Haldi)|Curry leaves|Mustard seeds (Rai/ Kadugu)|Corn flour|Lemon,Continental Party Appetizer & Starter,non-veg,4.931972789,Fusion,Eggetarian,547
Chicken And Basil Quiche Recipe ,All Purpose Flour (Maida)|Butter (unsalted)|Icing Sugar|Whole Egg|Salt|Onion|Garlic|Chicken breasts|Basil leaves|Dried oregano|Dried Thyme Leaves|Red Chilli flakes|Salt|Whole Egg|Milk|Salt and Pepper,Continental Food,non-veg,4.882743363,French,High Protein Non Vegetarian,330
Homemade Butter Naan Recipe - Soft Yogurt Bread,All Purpose Flour (Maida)|Butter (Unsalted)|Lukewarm Water|Sugar|Salt|Chaat Masala Powder|Butter (Salted),Indian Bread,veg,4.801390121,North Indian Recipes,Vegetarian,545
Croissant Recipe ,All Purpose Flour (Maida)|Butter (unsalted)|Salt|Butter (unsalted),Homemade Bread,veg,4.871212121,French,Vegetarian,239
Spicy Tandoori Paneer Open Puff Recipe ,All Purpose Flour (Maida)|Butter (unsalted)|Salt|Butter (unsalted)|Sweet corn|Onion|Green Bell Pepper (Capsicum)|Tomato|Turmeric powder (Haldi)|Red Chilli powder|Cumin powder (Jeera)|Chaat Masala Powder|Lemon juice|Hung Curd (Greek Yogurt),Continental Party Appetizer & Starter,veg,4.856353591,French,Vegetarian,276
Strawberry Compote Galette Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Salt|Caster Sugar|Water|Strawberries|Corn flour|Caster Sugar|Vanilla Extract|Whole Egg|Caster Sugar,Dessert,non-veg,4.983957219,Continental,Eggetarian,268
Mushrooms And Zucchini Puffs Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Salt|Chilled water|Lemon juice|Button mushrooms|Green zucchini|Onion|Garlic|Dried Thyme Leaves|Sunflower Oil|Cheese|Salt|Sesame seeds (Til seeds)|Whole Egg|Milk,Continental Party Appetizer & Starter,non-veg,4.970873786,Continental,Eggetarian,200
 Mushroom Empanadas Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Salt|Chilled water|Sunflower Oil|Onion|Carrot (Gajjar)|Button mushrooms|Garlic|Green Bell Pepper (Capsicum)|Parsley leaves|Basil leaves|White pepper powder|Salt|Milk,Continental Party Appetizer & Starter,veg,4.916763006,Fusion,Vegetarian,475
Brunch Omelette Torte Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Salt|Water|Chicken ham|Cheddar cheese|Sweet Potatoes|Onion|Salt|Black pepper powder|Whole Eggs|Parsley leaves|Whole Eggs,Continental Breakfast,non-veg,4.904645477,Continental,Eggetarian,478
Chocolate Nutella Lava Cookies Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Sugar|Brown Sugar (Demerara Sugar)|Whole Eggs|Cocoa Powder|Baking soda|Corn flour|Salt|Vanilla Extract|Nutella Spread|Chocolate chips,Cookies,veg,4.896337249,Continental,Vegetarian,378
Lemon Cookie Recipe,All Purpose Flour (Maida)|Butter (unsalted)|Sugar|Corn flour|Vanilla Extract|Lemon zest|Lemon juice|Salt,Cookies,veg,4.814953271,Continental,Vegetarian,468
Shrewsbury Cookies Recipe (Butter Cookies),All Purpose Flour (Maida)|Butter (unsalted)|Sugar|Whole Eggs|Milk|Baking soda|Salt,Cookies,veg,4.838977194,Continental,Vegetarian,406
Eggless Buttermilk Cinnamon Rolls Recipe,All Purpose Flour (Maida)|Buttermilk|Salt|Butter (Unsalted)|Lukewarm Water|Caster Sugar|Butter (Unsalted)|Cinnamon Powder (Dalchini)|Caster Sugar|Milk|Icing Sugar|Vanilla Extract,Continental Breakfast,veg,4.935005701,Continental,Vegetarian,412
Eggless Rich Chocolate Banana Muffins Recipe-Vegan Options,All Purpose Flour (Maida)|Canola Oil|Brown Sugar (Demerara Sugar)|Cocoa Powder|Baking powder|Ripe Bananas|Vanilla Extract|Flax seed powder (flax meal)|Chilled water,Cake,veg,4.875598086,Continental,Vegetarian,560
Khaja Recipe (Layered Fritters Dunked In Sugar Syrup),All Purpose Flour (Maida)|Cardamom Powder (Elaichi)|Black pepper powder|Cinnamon Powder (Dalchini)|Sunflower Oil|Chilled water|Sugar|Water,Sweet Recipes (Indian Mithai / Indian ,veg,4.875221964,Bihari,Vegetarian,440
Dry Fruits Spongy Cake Recipe,All Purpose Flour (Maida)|Caster Sugar|Baking powder|Baking soda|Salt|Mixed dry fruits|Water|Sunflower Oil|Vinegar|Vanilla Extract|Sunflower Oil,Cake,veg,4.826415094,Continental,Vegetarian,340
Strawberry Upside Down Muffin Recipe,All Purpose Flour (Maida)|Caster Sugar|Baking powder|Milk|Whole Egg|Butter (unsalted)|Vanilla Extract|Strawberries|Caster Sugar|Water,Cake,veg,4.90960452,Continental,Vegetarian,355
Cinnamon Welsh Cake Recipe ,All Purpose Flour (Maida)|Caster Sugar|Cinnamon Powder (Dalchini)|Baking powder|Butter (Unsalted)|Sultana Raisins|Whole Egg,Cake,non-veg,4.948084054,Continental,Eggetarian,584
Eggless French Rosy Apple Tart Recipe,All Purpose Flour (Maida)|Caster Sugar|Cinnamon Powder (Dalchini)|Water|Apple|Water|Sugar|Cinnamon Powder (Dalchini),Dessert,veg,4.87,French,Vegetarian,579
Coca Cola Bundt Cake Recipe,All Purpose Flour (Maida)|Caster Sugar|Coca cola|Cocoa Powder|Instant Coffee Powder|Sunflower Oil|Buttermilk|Butter (unsalted)|Salt|Baking powder|Vanilla Extract|Butter (unsalted)|Coca cola|Cocoa Powder|Caster Sugar|Salt|Filter Coffee Powder|Vanilla Extract,Cake,veg,4.797183099,Continental,Vegetarian,422
Eggless Choco Lava Cake Recipe ,All Purpose Flour (Maida)|Caster Sugar|Cocoa Powder|Baking powder|Baking soda|Salt|Chocolate Bar|Condensed Milk|Vanilla Extract,Cake,veg,4.822026801,Continental,Vegetarian,200
Eggless Chocolate Chip And Honey Cookies Recipe,All Purpose Flour (Maida)|Caster Sugar|Honey|Vanilla Extract|Chocolate chips,Cookies,veg,4.866322433,Continental,Vegetarian,475
Matcha Cookies Recipe,All Purpose Flour (Maida)|Caster Sugar|Matcha powder|Vanilla Extract,Cookies,veg,4.791017415,Fusion,Vegetarian,276
Eggless Mango Muffins Recipe,All Purpose Flour (Maida)|Caster Sugar|Sunflower Oil|Vanilla Extract|Salt|Baking powder,Cake,veg,4.858447489,Continental,Vegetarian,236
